,question,answers
2833,"The part of Alphonse Simone in ""American Hustle"" was played by whom?", Paul Herman as Alfonse Simone
2834,Who were the top two candidates for the Chilean presidency in 2010?,"As a result, the top two candidates, center-left Concertación de Partidos por la Democracia coalition's Eduardo Frei Ruiz-Tagle and center-right Coalición por el Cambio coalition's Sebastián Piñera, competed in a run-off election on 17 January 2010, which Piñera won."
2835,what are the contested territorial disputes that are border to Brazil?,"Additionally, Brazil has no contested territorial disputes with any of its neighbours and neither does it have rivalries, like Chile and Bolivia have with each other."
2836,What games did Playniac create?,"Two popular online games, ""The Adversary"" and ""The Field of Fiery Danger"", were created by Playniac to accompany the movie release."
2837,"How helped write the song ""Set Fire to the Rain"" with Adele?","""Set Fire to the Rain"" was written by Adele and Fraser T Smith while the production was handled by Smith."
2839,Who confirmed the true nature of galaxies?,"The Andromeda Galaxy, for instance, was referred to as the ""Andromeda Nebula"" (and spiral galaxies in general as ""spiral nebulae"") before the true nature of galaxies was confirmed in the early 20th century by Vesto Slipher, Edwin Hubble and others."
2840,How many men were Austrian and Russian soldiers in 1813?,"In terms of soldiers the French advantage was offset by British subsidies that paid for a large proportion of the Austrian and Russian soldiers, peaking at about 450,000 men in 1813."
2841,How many people in the crew were dedicated Nazis?,"In the film, there is only one ardent Nazi in the crew of 40, namely the First Watch Officer (referred to comically in one scene as ""Unser Hitlerjugendführer"", ""Our Hitler Youth Leader""), with the rest of the officers either indifferent or, in the Captain's case, openly cynical."
2842,Who invented chemical bonds and molecular orbitals?,The electronic theory of chemical bonds and molecular orbitals was developed by the American scientists Linus Pauling and Gilbert N. Lewis.
2843,Are uddon noodles a summer or winter dish?,"Like many Japanese noodles, udon noodles are served chilled in the summer and hot in the winter."
2844,"In the episode ""Days of Infamy"", what country carries out an attack in the morning?","In the episode, Japan carries out the attack in the early hours of the morning, having perfected night carrier operations."
2845,How many Garden festivals have taken place at Epcot?,The 18th annual event was scheduled for March 2 – May 15.
2846,"Who moved the ""Mona Lisa"" to the Palace of Versailles?",Louis XIV moved the painting to the Palace of Versailles.
2847,What year was the Matrix first released?,"""The Matrix"" was released on , 1999."
2848,What do volleyball players do to hide block signals from the opposing team?,Block signals are made behind the back to hide them from the opposing team.
2850,Who said that Zuckenberg is a bigger influence on Modern Family than Norman Lear?,"In ""The New York Times"", Bruce Feiler called attention to how the show depicts the increasing way communications technology shapes the way people perceive others, even family members. """
2851,Which intelligence agency did Louis de Wohl work for?,"Louis de Wohl worked as an astrologer for the British intelligence agency MI5, after it was claimed that Hitler used astrology to time his actions."
2852,What was the first song released from Take Care by Drake?,"The first track Drake released was ""Dreams Money Can Buy"" on May 20, 2011 through his October's Very Own blog."
2853,In how many countries does Norway operate an embassy?,Norway maintains embassies in 86 countries.
2854,What is box lacrosse?,"Box lacrosse is played by teams of six on a hockey rink where the ice has been removed or covered by artificial turf, or in an indoor soccer or lacrosse field."
2855,With whom does the town's only hope lie?,"The town's only hope lies with a bail bonds-woman and bounty hunter named Emma Swan (Jennifer Morrison), the daughter of Snow White (Ginnifer Goodwin) and Prince Charming (Josh Dallas), who was transported from the Enchanted Forest within the fairy tale world as an infant before she could be cursed."
2856,Why were crosspieces made from maple rather than beech starting in 1970?,"In 1970, the beech crosspieces were switched to maple after it was found that the beechwood had been infested with insects."
2857,Religion was an important part of life for which court?,Religion was an important part of life for the imperial court.
2859,What mental illness do historians hypotesize that Jackson Pollock may have had?,Recently historians have hypothesized that Pollock might have had bipolar disorder.
2860,What proportion of citizens identify as Viet or Kinh?,"According to the 2009 census, the dominant Viet or Kinh ethnic group constituted nearly 73.6 million people, or 85.8% of the population."
2861,"What is the practice of swimming on or through a body of water while equipped with a diving mask, a shaped tube called a snorkel, and usually fins?","Snorkeling (British and Commonwealth English spelling: snorkelling) is the practice of swimming on or through a body of water while equipped with a diving mask, a shaped tube called a snorkel, and usually fins."
2862,What date did the Beatles perform their Rooftop Concert at the Apple Building?,Preston worked with the Beatles throughout their stay at Apple Studios.
2863,"Name the 3 countries where the Blu-ray package of all four seasons including ""The Final Break"" has been released.","In France, Germany and the United Kingdom, a Blu-ray package of all four seasons including ""The Final Break"" has been released."
2864,"In the Mesozoic era, which formations were re-exposed?",The Mesozoic era was dictated by the rapid erosion of softer sedimentary rocks and re-exposed the older Ocoee Supergroup formations.
2865,When was the name Rembrandt introduced as the artists name?,"""Rembrandt"" is a modification of the spelling of the artist's first name that he introduced in 1633."
2866,What does Arbor do in the final scene?,"In a final scene, Arbor takes care of the horse Swifty loved."
2867,How does one score a zero in a diving competition?,"If they fail to perform the dive announced, even if they physically cannot execute the dive announced or if they perform a more difficult dive, they will receive a score of zero."
2868,"During the 1920s, what was the average number of annual visits to the Pier?","During the 1920s, it is estimated that an average of 3.2 million visitors frequented the Pier annually."
2869,What is the disimilarities between a slider shoe and a non sliding shoe's design?,"The ""slider shoe"" is designed to slide and typically has a Teflon sole."
2870,What changes when an oven is used?,"When an oven is used, the duck is heated at a temperature of 150 °C (300 °F) for 20 minutes, and then at 160 °C (325 °F) for another 10 minutes."
2871,What do commercial bakeries do to lard to introduce air bubbles?,"Commercial bakeries tend to use lard for the fat, and often whip the lard to introduce air bubbles."
2872,What happened to populatoin after 1740?,"According to Robert Hughes in ""The Fatal Shore"", the population of England and Wales, which had remained steady at 6 million from 1700 to 1740, rose dramatically after 1740."
2873,What ingredients are differnt in some cakes?,"For example, banana bread may be properly considered either a quick bread or a cake."
2874,"In Fight Club, which actor thought his character was too one-dimensional","When Pitt was cast, he was concerned that his character, Tyler Durden, was too one-dimensional."
2875,Which country is a transcontinetal country?,Turkey is a transcontinental Eurasian country.
2876,What did Time call the number one TV series in 2012?,"In ""Time""s 2012 year-end lists issue, ""Parks and Recreation"" was named the number one television series."
2878,Goal posts are located where?,The goal posts are located within the shooting circle.
2879,Which president signed the Yosemite Grant in 1864?,"First, Galen Clark and others lobbied to protect Yosemite Valley from development, ultimately leading to President Abraham Lincoln's signing the Yosemite Grant in 1864."
2880,Which year celebrated Apollo 11's 40th anniversary?,"The Jodrell Bank Observatory radio telescope in England was later discovered to have recorded transmissions from Luna 15 during its descent, and this was published in July 2009 on the 40th anniversary of Apollo 11."
2881,What part of an animal is rib steak from?,"A rib steak is a beef steak sliced from the rib primal of a beef animal, with rib bone attached."
2882,Do palate cleansing salads exist?,"Palate-cleansing salads, to settle the stomach after the main course."
2883,"In gymnastics, which elements are combined?","This is a sport that combines elements of ballet, gymnastics, dance, and apparatus manipulation."
2884,Which techniques did they employ?,"Techniques included the revival of old techniques such as the fresco, painting on freshly plastered walls and encaustic or hot wax painting ."
2885,What addition to ketchup makes it flow more freely?,"Tomato ketchup has an additive, usually xanthan gum, which gives the condiment a pseudoplastic or ""shear thinning"" property."
2886,What record label did Lights sign to in 2008?,"In August 2008, Lights signed a record deal with Toronto based label Underground Operations."
2887,Who plays Hank in the movie Before the Midnight?,"Jesse is also struggling to maintain his relationship with his teenage son, Hank (Davey-Fitzpatrick), who lives in Chicago with Jesse's ex-wife and who, after spending the summer with Jesse and Céline on the Greek Peloponnese peninsula, is being dropped off at the airport to fly home."
2888,Why does properly processed chocolate have a uniform sheen and crisp bite?,The uniform sheen and crisp bite of properly processed chocolate are the result of consistently small cocoa butter crystals produced by the tempering process.
2889,When was Rockslide added to Studio Tour?,"In 1974, the Rockslide staged event was added to the Studio Tour."
2890,When was the real turning point for the worst in Russia's economic history?,"Even before Russia's financial crisis of 1998, Russia's GDP was half of what it had been in the early 1990s, and some populations are still poorer than they were in 1989, including Ukraine, Moldova, Central Asia, and the Caucasus."
2891,Who established the basis of the modern Italian Language,"The basis of the modern Italian language was established by the Florentine poet Dante Alighieri, whose greatest work, the Divine Comedy, is considered among the foremost literary statements produced in Europe during the Middle Ages."
2893,What city is the Dali Universe located in?,"Dalí Universe – Venice, Italy "
2894,Who sponsored Universe of Energy?,"For example, Universe of Energy was sponsored by Exxon from 1982 to 2004, and The Land was sponsored by Kraft from 1982 to 1993, then Nestlé from 1993 to 2009."
2895,When were the Japanese defeated in WWII?,"By the start of 1943, the Japanese were defeated on the island and withdrew their troops."
2896,What hotels does the resort feature?,"The resort features three official on-site hotels: Loews Royal Pacific Hotel, the Hard Rock Hotel, and Loews Portofino Bay Hotel & Spa."
2897,What criteria are boxers ranked by?,"There are various organizations and websites, that rank boxers in both weight class and pound-for-pound manner."
2898,Who persuaded the king to revise the constitution?,Venizelos persuaded the king to revise the constitution and asked the League to disband in favor of a National Assembly.
2899,Its origins are traced back to the Chinese hot pot known what?,"Its origins are traced back to the Chinese hot pot known as ""shuan yang rou""."
2900,"Which government wanted a ""ring"" built around Germany?","The British, on the other hand, argued that military operations should target peripheral areas in order to throw a ""ring"" around Germany which would wear out German strength, lead to increasing demoralisation, and bolster resistance forces."
2901,When did The Big Bang Theory win a comedy award?,"In August 2009, the sitcom won the best comedy series TCA award and Jim Parsons (Sheldon) won the award for individual achievement in comedy."
2902,What year was the song Hey Jude covered and performed on the TV show Glee?,"The song was performed by the members of glee club in the 2013 ""Glee"" episode ""Tina in the Sky with Diamonds"" and the soundtrack ""Glee Sings the Beatles"", in which the song is shortened to four minutes and fifty-one seconds."
2904,How much of the global coal reserves does the US have?,The United States has 27% of global coal reserves.
2905,How many people of Jewish descent live in Spain?,"Currently there are around 62,000 Jews in Spain, or 0.14% of the total population."
2906,What competition does the People's Republic of China hold for Wushu?, National Games of the People's Republic of China
2907,What is the primary appeal of snorkeling?,The primary appeal is the opportunity to observe underwater life in a natural setting without the complicated equipment and training required for scuba diving.
2908,What was the origin of Udon that took place in 1241?,"One story says that in AD.1241, Enni, a Rinzai monk, introduced flour milling technology to Japan."
2909,What result came of more chemically similar lanthanide elements being discovered?,"However the gradual identification of more and more chemically similar lanthanide elements, whoise atomic number was not obvious, led to inconsistency and uncertainty in the periodic numbering of elements at least from lutetium (element 71) onwards (hafnium was not known at this time)."
2910,What did early draft introduce?,An early draft was rejected by the population in 1872 but modifications led to its acceptance in 1874.
2911,What is the time fluctuation in sunspot numbers?,This is an 11-year fluctuation in sunspot numbers.
2912,"According to Dobrev, whose image is the Sphinx based off of?","Dobrev suggests that Djedefre built the Sphinx in the image of his father Khufu, identifying him with the sun god Ra in order to restore respect for their dynasty."
2913,When is a profession said to be regulated?,A profession is said to be regulated when access and exercise is subject to the possession of a specific professional qualification.
2914,Which company did Six Flags collaborate with to make their video game?,Six Flags has also partnered with Brash Entertainment to create a video game called Six Flags Fun Park.
2915,What is a brownie a mix of?,The brownie is a cross between a cake and a cookie in texture.
2916,What part binds mRNA and carries out protein synthesis?,The ribosome binds mRNA and carries out protein synthesis.
2917,In what year did the Berlin Wall Fall?,"The tidal wave of change culminated with the fall of the Berlin Wall in November 1989, which symbolized the collapse of European Communist governments and graphically ended the Iron Curtain divide of Europe."
2918,Where is the traditional location?,"The traditional location is in an area that, according to archaeology, had a large Essene community, a point made by scholars who suspect a link between Jesus and the group (Kilgallen 265)."
2919,What were the domains that the programme was designed to reform?,"The programme comprised economic, institutional, political and social reform to modernise the country, raise living standards, and tackle the causes of alienation."
2920,What is the primary strategy of racquetball?,The primary strategy of racquetball is to command the center of the court just at or behind the dashed receiving line.
2922,I believe i can fly is a soundtrack song in what movie?,"The song was written, produced and performed by Kelly and was featured on the soundtrack to the 1996 film ""Space Jam""."
2923,"How long is ""Talk to Me""?"," ""Talk to Me""  – 2:50"
2924,"When did the shooting of the music video ""Wide Awake"" start?","Filming of the official 3D music video for ""Wide Awake"" began on April 30, 2012 and ended on May 2, 2012."
2925,What year was the Brest Bible published?,"In 1563, the Brest Bible was published (see also Bible translations into Polish)."
2926,Construction began at Disneyland in what year?,"Construction began in 1954 and the park was unveiled during a special televised press event on the ABC Television Network on July 17, 1955."
2927,What causes the rider to be launched?,"When the rider rides up the wake, the energy of the wake launches him airborne."
2928,What are glazed twisted rope shaped doughnuts known as?,"Glazed, twisted rope-shaped doughnuts are known as ""yum-yums""."
2929,What year did Saudi Arabia joined the UN?,"Saudi Arabia joined the UN in 1945 and is a founding member of the Arab League, Gulf Cooperation Council, Muslim World League, and the Organization of the Islamic Conference (now the Organisation of Islamic Cooperation)."
2930,For Whose killing is referred to by opponents of the Obama administration as a possible partisan element of the film Zero Dark Thirty?,"Opponents of the Obama Administration charged that ""Zero Dark Thirty"" was scheduled for an October release just before the November presidential election to support his re-election, as Bin Laden's killing is regarded as a success for President Obama."
2931,What is the subject of the third segment of the animation tour at Hollywood Studios?,The third segment of the animation tour was a short film in which Disney Animators described the joy of the art of animation.
2932,How many people died because the Titanic sank?,"The death toll has been put at between 1,490 and 1,635 people."
2933,What languages did Jose Saramago speak?,"The Portuguese writer José Saramago, also awarded with the prize, lived for many years in Spain and was Portuguese and spanish speaker."
2934,During what war did Romania fight alongside Russia?,"During the 1877–1878 Russo-Turkish War Romania fought on the Russian side, and as a result of it in the Treaty of San Stefano and the Treaty of Berlin, Romania was recognized as an independent state both by the Ottoman Empire and the Great Powers."
2935,Which one is the only junior tennis tournaments that offer prize money?,"Junior tournaments do not offer prize money except for the Grand Slam tournaments, which are the most prestigious junior events."
2936,What are some of the techniques utilized in wrestling?,"Wrestling is a combat sport involving grappling type techniques such as clinch fighting, throws and takedowns, joint locks, pins and other grappling holds."
2937,When was the site digitally recorded?,"The site has been subsequently digitally recorded using a terrestrial laser scanning methodology in 2009 as part of the international Scottish Ten project, providing a record of unprecedented resolution and accuracy to inform the conservation of the site."
2938,Why is it necessary to use a double boiler while making pudding?,"These puddings are easily scorched on the fire, which is why a double boiler is often used; microwave ovens are also now often used to avoid this problem and to reduce stirring."
2939,What year did Mikhail Gorbachev become General Secretary?,"By the time the comparatively youthful Mikhail Gorbachev became General Secretary in 1985, the Soviet economy was stagnant and faced a sharp fall in foreign currency earnings as a result of the downward slide in oil prices in the 1980s."
2940,What date did novelist Michael Chabon sign on to write the film's script?,"On June 20, 2011, novelist Michael Chabon signed on to write the film's script."
2941,"Why did many go to the theater to see ""The Lion King?""",The digital surround sound of the film led many of those theater to implement Dolby Laboratories' newest sound systems.
2942,What term describes the ability of a cell to go through numerous cycles of cell division while maintaining the undifferentiated state?,"""Self-renewal"": the ability to go through numerous cycles of cell division while maintaining the undifferentiated state."
2943,Why isn't it possible to describe the battle without any dispute?,"Because many of the primary accounts contradict each other at times, it is impossible to provide a description of the battle that is beyond dispute."
2945,The pavilions at the Epcot World Showcase represent which countries?,"In clockwise order, the eleven pavilions include:"
2946,Where can you find RNA nucleotides?,"Introns are spliced out of pre-mRNA by spliceosomes, which contain several small nuclear RNAs (snRNA), or the introns can be ribozymes that are spliced by themselves.RNA can also be altered by having its nucleotides modified to other nucleotides than A, C, G and U."
2947,Which cuts are cooked with moist heat?,"Less tender cuts from the chuck or round are cooked with moist heat or are mechanically tenderized (""e.g."""
2948,Were the characters of Rayon and Dr.Eve real or fake?,"The characters of Rayon and Dr. Eve Saks were fictional; the writers had interviewed transgender AIDS patients, activists, and doctors for the film and combined these stories to create the two composite supporting roles."
2949,When did Iran receive access to the internet?,"Iran originally received access to the internet in 1993, and it has become enormously popular among the Iranian youth."
2950,When did the network announce that the show would feature Tennant and Piper again?,"In March 2013, it was announced that Tennant and Piper would be returning, and that the episode would have a limited cinematic release worldwide."
2951,What does levine do when he's almost caught during the car chase?,"A car chase follows and when Levine is almost caught by the police, he steers the stolen convertible onto the wrong side of the road and causes a huge explosion, which destroys one of the police cars."
2952,"In the music video for the song ""Counting Stars"", what animal appears?",The video also shows clips of an alligator crawling through the basement.
2953,When did the painter Van Gogh enter the Saint-Remy asylum?,"""In May 1889, Van Gogh decided to enter the asylum at Saint-Rémy, where he stayed for the next year."
2954,Who was Frederick Barlett's second wife?,"He and second wife, Helen Birch Bartlett, loaned their collection of French Post-Impressionist and Modernist art to the museum."
2955,"What was the viewership of second, third, fourth, and fifth episodes of the show Once Upon A Time?",The show's next three episodes had consistent ratings every week with over 11 million viewers.
2956,"When did the movie ""The Terminator"" debut?","The film was premiered on October 26, 1984."
2957,When was Frans Hendricksz Bel born?,Frans Hendricksz Bel (1629–1701)
2958,What is another name for Mexican professional wrestling?,"Mexican professional wrestling, also known as ""Lucha libre"" is a style of wrestling that combines mixed-martial arts and the wrestling of North America."
2959,"Who published ""Chatting with Henri Matisse: The Lost 1941 Interview""?"," ""Chatting with Henri Matisse: The Lost 1941 Interview"", Getty Publications 2013."
2960,What year did the Manchus accomplish climbing over the Great Wall?,"The Manchus were finally able to cross the Great Wall in 1644, after Beijing had already fallen to Li Zicheng's rebels."
2961,"Who was the ""The Weeping Woman"" in Picasso's painting?","""""""""Dora, for me, was always a weeping woman... And it's important, because women are suffering machines."""""
2962,What was the sculpture built by Michelangelo used to symbolize?,"Because of the nature of the hero that it represented, it soon came to symbolize the defense of civil liberties embodied in the Florentine Republic, an independent city-state threatened on all sides by more powerful rival states and by the hegemony of the Medici family."
2963,"When wasthe song ""Sexy and I Know It"" released?",It was released as the third single from the album on 16 September 2011.
2964,Who manages most prisons?,"Her Majesty's Prison Service, reporting to the Ministry of Justice, manages most prisons, housing over 85,000 convicts."
2966,When did karate get eliminated as an Olympic sport?,"""In 2009, in the 121st International Olympic Committee voting, karate did not receive the necessary two-thirds majority vote to become an Olympic sport."
2967,Who led the largest bloc?,The largest bloc—led by Senator Lodge— comprised a majority of the Republicans.
2968,How many episodes did Orange Is The New Black have in it's first season?,Netflix finalized the deal as a 13-episode straight-to-web series.
2969,Ellen DeGeneres features Minaj on what date?,"Minaj performed the song in a mash-up with ""Right by My Side"" at ""The Ellen DeGeneres Show"" on May 10, 2012."
2970,What can the left over parts of Peking Duck be used for?,"The remaining fat, meat and bones may be made into a broth, served as is, or the meat chopped up and stir fried with sweet bean sauce."
2971,"Who, along with their team of British physicists identified the electron in 1897?","British natural philosopher Richard Laming first hypothesized the concept of an indivisible quantity of electric charge to explain the chemical properties of atoms in 1838; Irish physicist George Johnstone Stoney named this charge 'electron' in 1891, and J. J. Thomson and his team of British physicists identified it as a particle in 1897."
2972,"What score did the movie ""Kung Fu Panda"" receive on Rotten Tomatoes?",Rotten Tomatoes reported that 88% of 164 critics gave the film a positive review.
2973,Who was the first European to see Victoria Falls?,"The first European to see the falls was David Livingstone on 17 November 1855, during his 1852–56 journey from the upper Zambezi to the mouth of the river."
2974,"Who is credited for songwriting for ""Rolling in the Deep""?",Songwriting - Paul Epworth & Adele Adkins
2975,What are uses of a microscope?,"A microscope (from the , ""mikrós"", ""small"" and , ""skopeîn"", ""to look"" or ""see"") is an instrument used to see objects that are too small for the naked eye."
2976,What artists recorded music at Sound City Studios?,"Artists such as Nirvana, Kyuss, Red Hot Chili Peppers, Fleetwood Mac, Neil Young, Rick Springfield, Tom Petty and Slipknot recorded groundbreaking music at the studio."
2977,What are the different regions of Six Flags called?,"The Six Flags chain originated in 1959 with the creation of ""The Great Southwest Corporation"" by Angus G. Wynne and other investors."
2978,When was the first Impressionist art exhibition held?,"The first Impressionist exhibition was held in 1874 at 35 boulevard des Capucines, Paris, from 15 April to 15 May."
2979,On what date did three British colonies unionized to form the federal dominion of Canada?,"On July 1, 1867, three British colonies joined to form the federal dominion of Canada."
2980,Who is the narrator of Hell's Kitchen (US TV Series)?,The narrator is Jason Thompson.
2982,Who condemned the work as disrespectful to Mandela?,"The African National Congress condemned the work as disrespectful to Mandela, racist, and culturally insensitive to African taboos on depiction of living people as dead."
2983,What year did track and field begin following an Olympic style model?,"Among some of the first of these events to follow the Olympic-style model were the World University Games in 1923, the Commonwealth Games in 1930, and the Maccabiah Games in 1932."
2984,What was the name of Mindy's ex boyfriend?," Tommy Dewey as Josh Daniels, a lawyer; Mindy's former boyfriend."
2985,Who was the Versailles museum director in the 50s?,"Starting in the 1950s, when the museum of Versailles was under the directorship of Gérald van der Kemp, the objective was to restore the palace to its state – or as close to it as possible – in 1789 when the royal family left the palace."
2986,How did Cyril find out that her father sold his bike?,"Later, through an old personal ad, Cyril discovers that his father actually sold his bike."
2987,Is badminton considered the fastest racquet sport?,"For example, it is often claimed that badminton is the fastest racquet sport."
2988,Which year was The Usual Suspects released?,"Gramercy Pictures ran a pre-release promotion and advertising campaign before ""The Usual Suspects"" opened in the summer of 1995."
2990,"Among best Beatles songs what rank does Rolling Stone place ""Hey Jude""?","Also in 2010, ""Rolling Stone"" ranked the song at number seven on the Beatles' 100 Greatest Songs."
2991,When did the Enchanted Forest open?,"This portion of the New Fantasyland officially opened on December 6, 2012."
2992,Who was the Hockney-Falco thesis named after?,"This became known as the Hockney–Falco thesis, named after Hockney and Charles M. Falco, another proponent of the theory."
2993,Which point is the lowest?,"The lowest point is Shatt al Gharsah, at below sea level and the highest is Jebel ech Chambi, at ."
2994,By what grade do all children in Sweden need to learn to swim?,"In Sweden, Denmark, Norway, Estonia and Finland, the curriculum for the fifth grade (fourth grade in Estonia) states that all children should learn how to swim as well as how to handle emergencies near water."
2995,Which division entered via the Guanghua Gate?,"Simultaneously, the 9th Division entered nearby Guanghua Gate, and the 16th Division entered the Zhongshan and Taiping gates."
2996,"Who wrote ""What Makes You Beautiful?","""What Makes You Beautiful"" was written by Rami Yacoub, Carl Falk and Savan Kotecha, and was produced by Yacoub and Falk."
2997,How is the depth controlled when scuba diving using propulsion?,The depth is usually controlled by the diver by using diving planes or by tilting the whole sled.
2998,How many viral infections can vaccines prevent?,"Vaccines are available to prevent over thirteen viral infections of humans, and more are used to prevent viral infections of animals."
2999,What year did Bishop Eudes de Sully die?, 1208 Bishop Eudes de Sully dies.
3000,Who has the license to put out the DVD of Rules of Engagement in Region 1?,Sony Pictures Home Entertainment owns the rights to release DVDs in Region 1.
3002,Where did Kipferl orginate?,"The Kipferl, ancestor of the croissant, has been documented in Austria going back at least as far as the 13th century, in various shapes."
3003,Curry dishes at Caribbean restaurants use what type of ingredients?,"Curry can be found at both inexpensive and upscale Caribbean restaurants, and ingredients can range from chicken or vegetables to shellfish such as shrimp and scallops."
3005,"According to the experts, what number of years did the High Renaissance occur?","Since the late eighteenth century, the High Renaissance has been taken to refer to a short (c. 30-year) period of exceptional artistic production in the Italian states, principally Rome, capital of the Papal States, under Pope Julius II."
3007,What does the bachelor do with the winning candidate?,"During the course of the season, the bachelor eliminates candidates (see The elimination process), with the bachelor proposing marriage to his final selection."
3008,Where do most countries have embassies in the US?,"Almost all countries have embassies in Washington, D.C., and many have consulates around the country."
3009,What is a reef knot?,reef knot — joining two ends of a single line to bind around an object
3010,When did Austria-Hungary annex the de jure Ottoman province of Bosnia and Herzegovina?,"At the same time, in October 1908, Austria-Hungary seized the opportunity of the Ottoman political upheaval to annex the ""de jure"" Ottoman province of Bosnia and Herzegovina, which it had occupied since 1878 (see ""Bosnian Crisis""), and Bulgaria declared itself a fully independent kingdom."
3011,The Audien Luvstep Mix had a running time of what length?,Big Sean) (Audien Luvstep Mix) - 4:37
3012,How many episodes accounted for the season during Glees first season?,"Viewing figures rose to 11.07 million viewers for the season finale, giving ""Glee"" the highest finale rating for a new show in the 2009–10 television season."
3013,Double-stranded RNA contains how many strands?,"Double-stranded RNA (dsRNA) is RNA with two complementary strands, similar to the DNA found in all cells."
3014,Who was the North Korean leader who ordered the invasion of South Korea?,"Encouraged by the success of Communist revolution in Indochina, Kim Il-sung saw it as an opportunity to invade the South."
3015,A song was leaked in late 2010 with speculation that the lyrics were towards the singer's x-boyfrined Travie McCoy.,"A demo of the song leaked online in late 2010, amid speculation that the lyrics were directed to the singer's ex-boyfriend Travie McCoy."
3016,"Which court is more narrow, singles or doubles?","The singles court is narrower than the doubles court, but the same length."
3017,How many winners are allowed for the contest!,Minaj will then select 5 winners.
3018,What emperor used the name between 1804 and 1813?,"Between 1804 and 1813, the name was used officially by Emperor Gia Long."
3019,What procedure is used to generate pictures of veins?,Magnetic resonance venography (MRV) is a similar procedure that is used to image veins.
3020,What type of acid was dropped from helicopters after the Chernobyl disaster to curb any risk of explosion?,"The reactor itself was covered with bags of sand, lead and boric acid dropped from helicopters: some 5,000 metric tons of material were dropped during the week that followed the accident."
3022,"What was the rating given to ""The Dark Knight Rises"" by IGN?","IGN gave it a 9 out of 10, noting similarities in tone and theme to ""Batman Begins"" over the trilogy's second installment ""The Dark Knight"", but also describing Bane as ""that bit less interesting to watch"" than Ledger's Joker, despite praising his ""menacing voice"" and ""body language-driven performance""."
3023,What is another name for cloning?,"However, cloning, or asexual propagation, has been common practice in the horticultural world for hundreds of years."
3024,When did fencing originate?,Fencing has a long history with universities and schools for at least 500 years.
3025,On what day did Union Station first open?,"Union Station opened on October 27, 1907, with the arrival of a Baltimore and Ohio Railroad passenger train from Pittsburgh."
3026,What are the seasons included to ramen?,"Seasonings commonly added to ramen are black pepper, butter, chili pepper, sesame seeds, and crushed garlic."
3027,"Who did the choral arrangements of Across the Universe, The Long and Winding Road, and I Me Mine?","John Barham – choral arrangements on ""Across the Universe"", ""I Me Mine"" and ""The Long and Winding Road"""
3028,How did Desert News react to the film Blackfish?,"The ""Deseret News"" called it ""a gripping example of documentary filmmaking at its finest""."
3029,What did Faraday conclude based on his electrochemical experiments?,"Faraday concluded after several experiments on electrical current in non-spontaneous process, the mass of the products yielded on the electrodes was proportional to the value of current supplied to the cell, the length of time the current existed, and the molar mass of the substance analyzed."
3030,"Why is french toast called ""lost bread""?","It is called ""lost bread"" because it is a way to reclaim stale or ""lost"" bread."
3031,"Why were churches constructed in Norway 1,000 years ago?","With Norway's conversion to Christianity some 1,000 years ago, churches were constructed."
3032,"""Dallas Buyers Club"" received universal acclaim during its debut when?","Upon its premiere at the 2013 Toronto International Film Festival, ""Dallas Buyers Club"" received universal acclaim by critics and audiences, who greatly praised the film for its acting (particularly for McConaughey and Leto), screenplay and direction."
3033,"""Family Guy"" debuted to 22 million viewers following which annual ratings machine?","""Family Guy"" officially premiered after Fox's broadcast of Super Bowl XXXIII on January 31, 1999, with ""Death Has a Shadow""."
3034,Alcott and Rice skated to Dancing on Ice on what date?,"On February 26, 2012, Chemmy Alcott and Sean Rice skated to the song on Dancing on Ice."
3035,What was once where Hell's Kitchen is now filmed?,"The studio sits on the former location of the famous RKO Forty Acres backlot, which was used in movies such as Gone With The Wind and television series such as ""The Andy Griffith Show"" and ""The Adventures of Superman""."
3036,What has St Ann Street been referred to?,"St. Ann Street has been referred to as ""the Velvet Line"", in reference to it being the edge or boundary line of the gay community in the French Quarter."
3037,What is the term for a period of low X-ray emissions?,"During the period of low X-ray emission (called quiescence), the accretion disc is extremely faint allowing for detailed observation of the companion star during this period."
3038,When did Leonardo da Vinci start painting the Mona Lisa?,"Leonardo da Vinci began painting the ""Mona Lisa"" in 1503 or 1504 in Florence, Italy."
3039,How did Beau Bokan propose to his future wife named Lights?,"As his proposal, Bokan made fortune cookies for Lights, with one containing the fortune of ""Will You Marry Me?"""
3040,Who does Andy Dufresne befriend during his time at the prison?,"During his time at the prison, he befriends a fellow inmate, Ellis Boyd ""Red"" Redding, and finds himself protected by the guards after the warden begins using him in his money laundering operation."
3041,What gives the opposing team a free throw?,"A technical foul may also be issued when certain infractions occur, most commonly for unsportsmanlike conduct on the part of a player or coach."
3042,Who is Maines representative for the democratic party?," Chellie Pingree, (D, Maine)"
3043,In what century did Indian writers take a new interest in social questions and psychological descriptions?,"In the 19th century, Indian writers took a new interest in social questions and psychological descriptions."
3044,"In 1530, how many religious houses were in Ireland?","There were around 400 religious houses in Ireland in 1530—many more, relative to population and material wealth than in England and Wales."
3045,What books inspired the traits of all the characters?,"The characteristics for each character in the pilot were based on the first ""Gossip Girl"" book."
3046,When was Knepper nominated for the Satellite Award for Best Actor in a Supporting Rolein a Series?,"In December 2006, Robert Knepper was nominated for the 2006 Satellite Award for Best Actor in a Supporting Role in a Series, Mini-Series or Motion Picture Made for Television."
